#1	
double tab1(24,2)	
0	132.00
3600	90.00
7200	198.87
10800	72.00
14400	1320.00
18000	1320.00
21600	1980.00
25200	2872.56
28800	5470.92
32400	7001.00
36000	6435.00
39600	3960.00
43200	2310.00
46800	3443.17
50400	3960.00
54000	6435.00
57600	495.00
61200	90.00
64800	20.52
68400	17.95
72000	8.75
75600	2.60
79200	2.00
82800	30.00
