#1	
double tab1(24,2)	
0	0.00758
3600	0.01111
7200	0.00503
10800	0.01389
14400	0.00076
18000	0.00076
21600	0.00051
25200	0.00035
28800	0.00018
32400	0.00014
36000	0.00016
39600	0.00025
43200	0.00043
46800	0.00029
50400	0.00025
54000	0.00016
57600	0.00202
61200	0.01111
64800	0.04874
68400	0.05570
72000	0.11429
75600	0.38462
79200	0.50000
82800	0.03333


