#1	
double tab1(31,2)	
0	4.820
10	4.810
20	4.770
30	4.720
40	4.690
50	4.620
60	4.600
70	4.760
80	4.820
90	4.830
100	4.790
110	4.720
120	4.690
130	4.640
140	4.640
150	4.680
160	4.720
170	4.780
180	4.800
190	4.810
200	4.830
210	4.850
220	4.860
230	4.870
240	4.870
250	4.870
260	4.870
270	4.870
280	4.870
290	4.870
200000	4.870






