"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
nan,nan,23.3578,25.2352
nan,nan,24.1197,25.3142
nan,nan,24.9365,25.3906
nan,nan,24.9365,25.3906
nan,nan,24.9365,25.3906
5.51737e-313,5.51737e-313,26.3652,25.0994
5.51737e-313,5.51737e-313,27.8758,24.7969
nan,nan,27.8758,24.7969
nan,nan,27.8758,24.7969
nan,nan,28.4133,24.4248
nan,nan,28.9097,24.0539
nan,nan,28.9097,24.0539
nan,nan,28.9097,24.0539
nan,nan,29.8965,24.3269
nan,nan,30.9305,24.6254
nan,nan,30.9305,24.6254
nan,nan,30.9305,24.6254
nan,nan,29.3454,25.0723
nan,nan,27.6925,25.53
2.97097e-313,2.97097e-313,27.6925,25.53
