"time","hp1.COP","hp2.COP","hP_with_boiler.COP"
nan,nan,5.37816,7.24213
nan,nan,5.37816,7.24213
nan,nan,5.37816,7.24213
1.06119e-313,nan,5.39155,7.21979
nan,nan,5.40501,7.19758
nan,nan,5.40501,7.19758
nan,nan,5.40501,7.19758
nan,nan,5.33174,7.18652
2.12394e-314,nan,5.26026,7.1755
nan,nan,5.26026,7.1755
nan,nan,5.26026,7.1755
nan,5.51737e-313,5.14077,7.21979
nan,5.51737e-313,5.02602,7.2646
nan,nan,5.02602,7.2646
nan,nan,5.02602,7.2646
nan,nan,4.99072,7.32132
nan,nan,4.95584,7.37887
nan,nan,4.95584,7.37887
nan,nan,4.95584,7.37887
nan,nan,4.88735,7.33277
nan,nan,4.82047,7.28719
nan,nan,4.82047,7.28719
nan,nan,4.82047,7.28719
nan,nan,4.93283,7.21979
nan,nan,5.0498,7.15353
nan,2.97097e-313,5.0498,7.15353
