"time","electrolyser_simple.Pelec","electrolyser_detailed1.Pelec"
180.5,47.7238,47.5881
180.75,47.6861,47.5528
181,47.6486,47.5177
181,47.6486,47.5177
181,47.6486,47.5177
181.25,47.648,47.5194
181.5,47.648,47.5209
181.75,47.648,47.522
182,47.648,47.5228
182,47.648,47.5228
182,47.648,47.5228
182.25,47.6356,47.5111
182.5,47.623,47.4993
182.75,47.6104,47.4876
183,47.5979,47.4759
183,47.5979,47.4759
183,47.5979,47.4759
183.25,47.66,47.5378
183.5,47.7229,47.5992
183.75,47.7858,47.6597
184,47.8486,47.7194
184,47.8486,47.7194
184,47.8486,47.7194
184.25,47.8492,47.7174
184.5,47.8492,47.7155
184.75,47.8492,47.7141
185,47.8492,47.713
185,47.8492,47.713
185,47.8492,47.713
185.25,47.8741,47.7369
185.5,47.8993,47.7607
185.75,47.9245,47.7844
186,47.9495,47.8078
186,47.9495,47.8078
186,47.9495,47.8078
186.25,47.9623,47.8191
186.5,47.9749,47.8303
186.75,47.9875,47.8417
187,48.0001,47.853
187,48.0001,47.853
187,48.0001,47.853
187.25,47.9503,47.8032
187.5,47.9,47.7538
187.75,47.8496,47.7052
188,47.7994,47.6574
188,47.7994,47.6574
188,47.7994,47.6574
188.25,47.7366,47.5975
188.5,47.6737,47.5382
188.75,47.6109,47.4791
189,47.548,47.4204
189,47.548,47.4204
189,47.548,47.4204
189.25,47.5973,47.4723
189.5,47.6476,47.5234
189.75,47.6979,47.5732
190,47.7481,47.622
190,47.7481,47.622
190,47.7481,47.622
190.25,47.8234,47.6948
190.5,47.8989,47.7669
190.75,47.9743,47.8383
191,48.0497,47.909
191,48.0497,47.909
