,time,modelA,modelB,modelC
125,1250,4.004775241,3.906722969,3.994959845
126,1260,4.004775241,3.906722969,3.994959845
127,1270,4.004775241,3.906722969,3.994959845
128,1280,4.004775241,3.906722969,3.994959845
129,1290,4.004775241,3.906722969,3.994959845
130,1300,4.004775241,3.906722969,3.994959845
131,1310,4.004775241,3.906722969,3.994959845
132,1320,4.004775241,3.906722969,3.994959845
133,1330,4.004775241,3.906722969,3.994959845
134,1340,4.004775241,3.906722969,3.994959845
135,1350,4.004775241,3.906722969,3.994959845
136,1360,4.004775241,3.906722969,3.994959845
137,1370,4.004775241,3.906722969,3.994959845
138,1380,4.004775241,3.906722969,3.994959845
139,1390,4.004775241,3.906722969,3.994959845
140,1400,4.004775241,3.906722969,3.994959845
141,1410,4.004775241,3.906722969,3.994959845
142,1420,4.004775241,3.906722969,3.994959845
143,1430,4.004775241,3.906722969,3.994959845
144,1440,4.004775241,3.906722969,3.994959845
145,1450,4.004775241,3.906722969,3.994959845
146,1460,4.004775241,3.906722969,3.994959845
147,1470,4.004775241,3.906722969,3.994959845
148,1480,4.004775241,3.906722969,3.994959845
149,1490,4.004775241,3.906722969,3.994959845
150,1500,4.004775241,3.906722969,3.994959845
151,1510,4.004775241,3.906722969,3.994959845
152,1520,4.004775241,3.906722969,3.994959845
153,1530,4.004775241,3.906722969,3.994959845
154,1540,4.004775241,3.906722969,3.994959845
155,1550,4.004775241,3.906722969,3.994959845
156,1560,4.004775241,3.906722969,3.994959845
157,1570,4.004775241,3.906722969,3.994959845
158,1580,4.004775241,3.906722969,3.994959845
159,1590,4.004775241,3.906722969,3.994959845
160,1600,4.004775241,3.906722969,3.994959845
161,1610,4.004775241,3.906722969,3.994959845
162,1620,4.004775241,3.906722969,3.994959845
163,1630,4.004775241,3.906722969,3.994959845
164,1640,4.004775241,3.906722969,3.994959845
165,1650,4.004775241,3.906722969,3.994959845
166,1660,4.004775241,3.906722969,3.994959845
167,1670,4.004775241,3.906722969,3.994959845
168,1680,4.004775241,3.906722969,3.994959845
169,1690,4.004775241,3.906722969,3.994959845
170,1700,4.004775241,3.906722969,3.994959845
171,1710,4.004775241,3.906722969,3.994959845
172,1720,4.004775241,3.906722969,3.994959845
173,1730,4.004775241,3.906722969,3.994959845
174,1740,4.004775241,3.906722969,3.994959845
175,1750,4.004775241,3.906722969,3.994959845
176,1760,4.004775241,3.906722969,3.994959845
177,1770,4.004775241,3.906722969,3.994959845
178,1780,4.004775241,3.906722969,3.994959845
179,1790,4.004775241,3.906722969,3.994959845
180,1800,3.996342329,3.907009018,3.982709987
181,1810,3.996342329,3.907009018,3.982709987
182,1820,3.996342329,3.907009018,3.982709987
183,1830,3.996342329,3.907009018,3.982709987
184,1840,3.996342329,3.907009018,3.982709987
185,1850,3.996342329,3.907009018,3.982709987
186,1860,3.996342329,3.907009018,3.982709987
187,1870,3.996342329,3.907009018,3.982709987
188,1880,3.996342329,3.907009018,3.982709987
189,1890,3.996342329,3.907009018,3.982709987
190,1900,3.996342329,3.907009018,3.982709987
191,1910,3.996342329,3.907009018,3.982709987
192,1920,3.996342329,3.907009018,3.982709987
193,1930,3.996342329,3.907009018,3.982709987
194,1940,3.996342329,3.907009018,3.982709987
195,1950,3.996342329,3.907009018,3.982709987
196,1960,3.996342329,3.907009018,3.982709987
197,1970,3.996342329,3.907009018,3.982709987
198,1980,3.996342329,3.907009018,3.982709987
199,1990,3.996342329,3.907009018,3.982709987
200,2000,3.996342329,3.907009018,3.982709987
201,2010,3.996342329,3.907009018,3.982709987
202,2020,3.996342329,3.907009018,3.982709987
203,2030,3.996342329,3.907009018,3.982709987
204,2040,3.996342329,3.907009018,3.982709987
205,2050,3.996342329,3.907009018,3.982709987
206,2060,3.996342329,3.907009018,3.982709987
207,2070,3.996342329,3.907009018,3.982709987
208,2080,3.996342329,3.907009018,3.982709987
209,2090,3.996342329,3.907009018,3.982709987
210,2100,3.996342329,3.907009018,3.982709987
211,2110,3.996342329,3.907009018,3.982709987
212,2120,3.996342329,3.907009018,3.982709987
213,2130,3.996342329,3.907009018,3.982709987
214,2140,3.996342329,3.907009018,3.982709987
215,2150,3.996342329,3.907009018,3.982709987
216,2160,3.996342329,3.907009018,3.982709987
217,2170,3.996342329,3.907009018,3.982709987
218,2180,3.996342329,3.907009018,3.982709987
219,2190,3.996342329,3.907009018,3.982709987
220,2200,3.996342329,3.907009018,3.982709987
221,2210,3.996342329,3.907009018,3.982709987
222,2220,3.996342329,3.907009018,3.982709987
223,2230,3.996342329,3.907009018,3.982709987
224,2240,3.996342329,3.907009018,3.982709987
225,2250,3.996342329,3.907009018,3.982709987
226,2260,3.996342329,3.907009018,3.982709987
227,2270,3.996342329,3.907009018,3.982709987
228,2280,3.996342329,3.907009018,3.982709987
229,2290,3.996342329,3.907009018,3.982709987
230,2300,3.996342329,3.907009018,3.982709987
231,2310,3.996342329,3.907009018,3.982709987
232,2320,3.996342329,3.907009018,3.982709987
233,2330,3.996342329,3.907009018,3.982709987
234,2340,3.996342329,3.907009018,3.982709987
235,2350,3.996342329,3.907009018,3.982709987
236,2360,3.996342329,3.907009018,3.982709987
237,2370,3.996342329,3.907009018,3.982709987
238,2380,3.996342329,3.907009018,3.982709987
239,2390,3.996342329,3.907009018,3.982709987
240,2400,3.996342329,3.907009018,3.982709987
241,2410,3.996342329,3.907009018,3.982709987
242,2420,3.996342329,3.907009018,3.982709987
243,2430,3.996342329,3.907009018,3.982709987
244,2440,3.996342329,3.907009018,3.982709987
245,2450,3.996342329,3.907009018,3.982709987
246,2460,3.996342329,3.907009018,3.982709987
247,2470,3.996342329,3.907009018,3.982709987
248,2480,3.996342329,3.907009018,3.982709987
249,2490,3.996342329,3.907009018,3.982709987
250,2500,3.996342329,3.907009018,3.982709987
251,2510,3.996342329,3.907009018,3.982709987
252,2520,3.996342329,3.907009018,3.982709987
253,2530,3.996342329,3.907009018,3.982709987
254,2540,3.996342329,3.907009018,3.982709987
255,2550,3.996342329,3.907009018,3.982709987
256,2560,3.996342329,3.907009018,3.982709987
257,2570,3.996342329,3.907009018,3.982709987
258,2580,3.996342329,3.907009018,3.982709987
259,2590,3.996342329,3.907009018,3.982709987
260,2600,3.996342329,3.907009018,3.982709987
261,2610,3.996342329,3.907009018,3.982709987
262,2620,3.996342329,3.907009018,3.982709987
263,2630,3.996342329,3.907009018,3.982709987
264,2640,3.996342329,3.907009018,3.982709987
265,2650,3.996342329,3.907009018,3.982709987
266,2660,3.996342329,3.907009018,3.982709987
267,2670,3.996342329,3.907009018,3.982709987
268,2680,3.996342329,3.907009018,3.982709987
269,2690,3.996342329,3.907009018,3.982709987
270,2700,3.996342749,3.907009428,3.982671919
271,2710,3.996342749,3.907009428,3.982671919
272,2720,3.996342749,3.907009428,3.982671919
273,2730,3.996342749,3.907009428,3.982671919
274,2740,3.996342749,3.907009428,3.982671919
275,2750,3.996342749,3.907009428,3.982671919
276,2760,3.996342749,3.907009428,3.982671919
277,2770,3.996342749,3.907009428,3.982671919
278,2780,3.996342749,3.907009428,3.982671919
279,2790,3.996342749,3.907009428,3.982671919
280,2800,3.996342749,3.907009428,3.982671919
281,2810,3.996342749,3.907009428,3.982671919
282,2820,3.996342749,3.907009428,3.982671919
283,2830,3.996342749,3.907009428,3.982671919
284,2840,3.996342749,3.907009428,3.982671919
285,2850,3.996342749,3.907009428,3.982671919
286,2860,3.996342749,3.907009428,3.982671919
287,2870,3.996342749,3.907009428,3.982671919
288,2880,3.996342749,3.907009428,3.982671919
289,2890,3.996342749,3.907009428,3.982671919
290,2900,3.996342749,3.907009428,3.982671919
291,2910,3.996342749,3.907009428,3.982671919
292,2920,3.996342749,3.907009428,3.982671919
293,2930,3.996342749,3.907009428,3.982671919
294,2940,3.996342749,3.907009428,3.982671919
295,2950,3.996342749,3.907009428,3.982671919
296,2960,3.996342749,3.907009428,3.982671919
297,2970,3.996342749,3.907009428,3.982671919
298,2980,3.996342749,3.907009428,3.982671919
