"time","hp2.Pelec"
46.5987,48.3489
46.5988,48.3898
46.5988,48.3898
46.6229,48.3898
46.6229,48.3898
46.623,48.4303
46.623,48.4303
46.6469,48.4303
46.6469,48.4303
46.6469,48.4705
46.6469,48.4705
46.6706,48.4705
46.6706,48.4705
46.6707,48.5104
46.6707,48.5104
46.6942,48.5104
46.6942,48.5104
46.6943,48.5501
46.6943,48.5501
46.7176,48.5501
46.7176,48.5501
46.7177,48.5894
46.7177,48.5894
46.7408,48.5894
46.7408,48.5894
46.7409,48.6285
46.7409,48.6285
46.75,48.6253
46.7638,48.6285
46.7638,48.6285
46.7639,48.6672
46.7639,48.6672
46.7866,48.6672
46.7866,48.6672
46.7867,48.7056
46.7867,48.7056
46.8092,48.7056
46.8092,48.7056
46.8093,48.7436
46.8093,48.7436
46.8316,48.7436
46.8316,48.7436
46.8317,48.7813
46.8317,48.7813
46.8537,48.7813
46.8537,48.7813
46.8538,48.8186
46.8538,48.8186
46.8756,48.8186
46.8756,48.8186
46.8757,48.8555
46.8757,48.8555
46.8973,48.8555
46.8973,48.8555
46.8974,48.8921
46.8974,48.8921
46.9188,48.8921
46.9188,48.8921
46.9189,48.9283
46.9189,48.9283
46.94,48.9283
46.94,48.9283
46.94,48.964
46.94,48.964
46.9609,48.964
46.9609,48.964
46.961,48.9993
46.961,48.9993
46.9815,48.9993
46.9815,48.9993
46.9816,49.0341
46.9816,49.0341
47,49.0333
47,49.0333
47,49.0333
47.0022,49.0341
47.0022,49.0341
47.0023,49.0609
47.0023,49.0609
47.25,48.9416
47.5,48.8203
47.75,48.6992
48,48.5784
48,48.5784
48,48.5784
48.25,48.4577
48.5,48.3372
48.75,48.217
49,48.0971
49,48.0971
49,48.0971
49.25,48.3406
49.5,48.6418
49.75,48.9444
49.8459,49.061
49.8459,49.061
49.8462,49.1445
49.8462,49.1445
49.9008,49.1445
49.9008,49.1445
49.901,49.1956
49.901,49.1956
49.9376,49.1957
49.9376,49.1957
49.9377,49.2348
49.9377,49.2348
49.9673,49.2348
49.9673,49.2348
49.9675,49.2685
49.9675,49.2685
49.9937,49.2685
49.9937,49.2685
49.9938,49.2992
49.9938,49.2992
50,49.2971
50,49.2971
50,49.2971
50.25,49.2375
50.5,49.1766
50.75,49.1157
51,49.0549
51,49.0549
51,49.0549
51.25,49.1516
51.5,49.2735
51.5527,49.2992
51.5527,49.2992
51.5529,49.3347
51.5529,49.3347
51.613,49.3347
51.613,49.3347
51.6131,49.359
51.6131,49.359
51.6591,49.359
51.6591,49.359
51.6592,49.3802
51.6592,49.3802
51.7012,49.3802
51.7012,49.3802
51.7013,49.4003
51.7013,49.4003
51.742,49.4003
51.742,49.4003
51.7421,49.42
51.7421,49.42
51.75,49.418
51.782,49.42
51.782,49.42
51.7821,49.4394
51.7821,49.4394
51.8215,49.4394
51.8215,49.4394
51.8216,49.4585
51.8216,49.4585
51.8605,49.4585
51.8605,49.4585
51.8606,49.4775
51.8606,49.4775
51.899,49.4775
51.899,49.4775
51.8991,49.4962
51.8991,49.4962
51.9371,49.4962
51.9371,49.4962
51.9372,49.5147
51.9372,49.5147
51.9746,49.5147
51.9746,49.5147
51.9747,49.5328
51.9747,49.5328
52,49.5309
52,49.5309
52,49.5309
52.0259,49.5328
52.0259,49.5328
52.0259,49.5422
52.0259,49.5422
52.25,49.5346
52.5,49.5346
52.75,49.5346
53,49.5346
53,49.5346
53,49.5346
53.25,49.3236
53.5,49.0798
53.75,48.8368
54,48.5947
54,48.5947
54,48.5947
