"time","hP_with_boiler.Pelec"
91,13.0936
91.5,13.3242
92,13.5551
92,13.5551
92,13.5551
92.5,13.8643
93,14.1792
93,14.1792
93,14.1792
93.5,14.7842
94,15.4113
94,15.4113
94,15.4113
94.5,15.8017
95,16.1911
95,16.1911
95,16.1911
95.5,19.4366
96,23.1963
96,23.1963
96,23.1963
96.5,23.2831
97,23.2115
97,23.2115
97,23.2115
97.5,23.4157
98,23.6323
98,23.6323
98,23.6323
98.5,23.5713
99,23.4992
99,23.4992
99,23.4992
99.5,23.6352
100,23.7804
100,23.7804
100,23.7804
100.5,23.9965
101,24.2168
101,24.2168
101,24.2168
101.5,24.2257
102,24.2257
102,24.2257
102,24.2257
102.5,24.7958
103,25.3995
103,25.3995
103,25.3995
103.5,24.773
104,24.1051
104,24.1051
104,24.1051
104.5,23.6581
105,23.2254
105,23.2254
105,23.2254
105.5,22.8663
106,22.5139
106,22.5139
106,22.5139
106.5,21.8986
107,21.2848
107,21.2848
107,21.2848
107.5,21.0682
108,20.8677
108,20.8677
108,20.8677
108.5,22.6388
109,24.5891
109,24.5891
109,24.5891
109.5,22.9895
110,21.3219
110,21.3219
110,21.3219
110.5,20.2385
111,19.2115
111,19.2115
111,19.2115
111.5,19.1168
112,19.0541
112,19.0541
112,19.0541
112.5,18.9915
113,18.9292
113,18.9292
113,18.9292
113.5,19.1691
114,19.4216
114,19.4216
114,19.4216
114.5,19.8623
115,20.3164
115,20.3164
115,20.3164
115.5,20.9699
116,21.6447
116,21.6447
116,21.6447
116.5,22.2003
117,22.7602
117,22.7602
117,22.7602
117.5,22.7819
118,22.7819
118,22.7819
118,22.7819
118.5,22.8499
119,22.9208
119,22.9208
119,22.9208
119.5,24.8843
120,27.0423
120,27.0423
120,27.0423
120.5,27.2158
121,27.2957
121,27.2957
121,27.2957
121.5,27.3759
122,27.4561
122,27.4561
122,27.4561
122.5,27.4597
123,27.4597
123,27.4597
123,27.4597
123.5,27.5365
124,27.6171
124,27.6171
124,27.6171
124.5,27.6979
125,27.7787
125,27.7787
125,27.7787
125.5,27.705
126,27.6243
126,27.6243
126,27.6243
126.5,27.6979
127,27.7787
127,27.7787
127,27.7787
127.5,27.7824
128,27.7824
128,27.7824
128,27.7824
128.5,27.7824
129,27.7824
129,27.7824
129,27.7824
129.5,27.5508
130,27.3098
130,27.3098
130,27.3098
130.5,27.2228
131,27.1431
131,27.1431
131,27.1431
131.5,25.9372
132,24.7195
132,24.7195
132,24.7195
132.5,25.3204
133,26.0099
133,26.0099
133,26.0099
133.5,25.2315
134,24.4064
134,24.4064
134,24.4064
134.5,23.5303
135,22.6733
135,22.6733
135,22.6733
135.5,22.6408
136,22.6408
136,22.6408
136,22.6408
136.5,23.1178
137,23.6209
137,23.6209
137,23.6209
137.5,23.5019
138,23.3578
138,23.3578
138,23.3578
138.5,24.1197
139,24.9365
139,24.9365
139,24.9365
139.5,26.3652
140,27.8758
140,27.8758
140,27.8758
140.5,28.4133
141,28.9097
141,28.9097
141,28.9097
141.5,29.8965
142,30.9305
142,30.9305
142,30.9305
142.5,29.3454
143,27.6925
143,27.6925
143,27.6925
143.5,34.8489
143.667,37.655
143.667,37.655
144,26.6963
144,26.6963
144,26.6963
144.5,27.1856
145,27.4266
145,27.4266
145,27.4266
145.5,27.9818
146,28.5573
146,28.5573
146,28.5573
146.5,28.5008
147,28.4181
147,28.4181
147,28.4181
147.5,28.4942
148,28.577
148,28.577
148,28.577
148.5,27.713
149,26.829
149,26.829
149,26.829
149.5,26.4917
150,26.178
150,26.178
150,26.178
150.5,25.8666
151,25.5579
151,25.5579
151,25.5579
151.5,25.7694
152,26.0019
152,26.0019
152,26.0019
152.5,25.5635
153,25.1049
153,25.1049
153,25.1049
153.5,24.7969
154,24.4968
154,24.4968
154,24.4968
154.5,24.4863
155,24.4863
155,24.4863
155,24.4863
155.5,24.4863
156,24.4863
156,24.4863
156,24.4863
156.5,24.7755
157,25.0777
157,25.0777
157,25.0777
157.5,25.0154
158,24.9398
158,24.9398
158,24.9398
158.5,25.1564
159,25.3851
159,25.3851
159,25.3851
159.5,25.2461
160,25.094
160,25.094
160,25.094
160.5,24.7243
161,24.3503
161,24.3503
161,24.3503
161.5,24.0513
162,23.7574
162,23.7574
162,23.7574
162.5,24.6766
163,25.6642
163,25.6642
163,25.6642
163.5,26.074
164,26.4652
164,26.4652
164,26.4652
164.5,26.6317
165,26.7901
165,26.7901
165,26.7901
165.5,27.0257
166,27.2657
166,27.2657
166,27.2657
166.5,27.585
167,27.9097
167,27.9097
167,27.9097
167.5,26.3056
168,24.6916
168,24.6916
168,24.6916
168.5,24.5637
169,24.4889
169,24.4889
169,24.4889
169.5,24.3425
170,24.194
170,24.194
170,24.194
170.5,24.3321
171,24.4811
171,24.4811
171,24.4811
171.5,24.703
172,24.929
172,24.929
172,24.929
172.5,25.0831
173,25.2351
173,25.2351
173,25.2351
173.5,25.094
174,24.9425
174,24.9425
174,24.9425
174.5,25.5985
175,26.2967
175,26.2967
175,26.2967
175.5,26.3984
176,26.477
176,26.477
176,26.477
176.5,25.8034
177,25.113
177,25.113
177,25.113
177.5,25.2352
178,25.3877
178,25.3877
178,25.3877
178.5,25.2461
179,25.0941
179,25.0941
179,25.0941
179.5,24.9424
180,24.7915
180,24.7915
180,24.7915
180.5,24.5689
181,24.3451
181,24.3451
181,24.3451
181.5,24.3373
182,24.3373
182,24.3373
182,24.3373
182.5,24.2656
183,24.1915
183,24.1915
183,24.1915
183.5,24.5479
184,24.9236
184,24.9236
184,24.9236
184.5,24.9371
185,24.9371
185,24.9371
185,24.9371
185.5,25.0831
186,25.2352
186,25.2352
186,25.2352
186.5,25.3142
187,25.3906
187,25.3906
187,25.3906
187.5,25.0994
188,24.7969
188,24.7969
188,24.7969
188.5,24.4248
189,24.0539
189,24.0539
189,24.0539
189.5,24.3269
190,24.6254
190,24.6254
190,24.6254
190.5,25.0723
191,25.53
191,25.53
