"time","hP_with_boiler.COP"
44,6.91985
44,6.91985
44.5,6.87886
45,6.83831
45,6.83831
45,6.83831
45.5,6.76839
46,6.69977
46,6.69977
46,6.69977
46.5,6.63241
46.7956,6.59316
46.7956,6.59316
46.7956,6.59316
46.7956,6.59316
46.8496,6.58604
46.8496,6.58604
46.8496,6.58604
46.8496,6.58604
46.901,6.57927
46.901,6.57927
46.901,6.57927
46.901,6.57927
46.9521,6.57255
46.9521,6.57255
46.9521,6.57255
46.9521,6.57255
47,6.56627
47,6.56627
47,6.56627
47.0038,6.56641
47.0038,6.56641
47.0038,6.56641
47.0038,6.56641
47.5,6.58504
48,6.60391
48,6.60391
48,6.60391
48.5,6.62289
49,6.64196
49,6.64196
49,6.64196
49.5,6.59447
49.8659,6.56011
49.8659,6.56011
49.8659,6.5601
49.8659,6.5601
49.9321,6.55392
49.9321,6.55392
49.9321,6.55392
49.9321,6.55392
49.997,6.54787
49.997,6.54787
49.997,6.54787
49.997,6.54787
50,6.54759
50,6.54759
50,6.54759
50.5,6.55692
51,6.56627
51,6.56627
51,6.56627
51.5,6.54759
51.6306,6.54273
51.6306,6.54273
51.6306,6.54273
51.6306,6.54273
51.7615,6.53786
51.7615,6.53786
51.7615,6.53786
51.7615,6.53786
51.8922,6.53301
51.8922,6.53301
51.8922,6.53301
51.8922,6.53301
52,6.52901
52,6.52901
52,6.52901
52.5,6.52901
53,6.52901
53,6.52901
53,6.52901
53.5,6.56627
54,6.60391
54,6.60391
54,6.60391
54.5,6.6804
55,6.75851
55,6.75851
55,6.75851
55.5,6.95088
56,7.15353
56,7.15353
56,7.15353
56.5,7.29854
57,7.44903
57,7.44903
57,7.44903
57.3182,7.61758
57.3182,4.43033
57.3387,4.43465
57.3387,4.43465
57.3416,4.43527
57.3416,4.43527
57.5,4.46891
58,4.57788
58,4.57788
58,4.57788
58.5,4.51791
59,4.45922
59,4.45922
59,4.45922
59.5,4.5678
60,4.68079
60,4.68079
60,4.68079
60.5,4.7337
61,4.78762
61,4.78762
61,4.78762
61.5,4.7444
62,4.70183
62,4.70183
62,4.70183
62.5,4.77133
63,4.84259
63,4.84259
63,4.84259
63.5,4.8761
64,4.91
64,4.91
64,4.91
64.5,4.89865
65,4.88735
65,4.88735
65,4.88735
65.5,4.89865
66,4.91
66,4.91
66,4.91
66.5,4.88172
67,4.85372
67,4.85372
67,4.85372
67.5,4.82047
68,4.78762
68,4.78762
68,4.78762
68.5,4.71772
69,4.64952
69,4.64952
69,4.64952
69.5,4.59816
70,4.54774
70,4.54774
70,4.54774
70.5,4.54274
71,4.53776
71,4.53776
71,4.53776
71.5,4.82599
72,5.14694
72,5.14694
72,5.14694
72.5,5.17174
73,5.19676
73,5.19676
73,5.19676
73.5,5.17174
74,5.14694
74,5.14694
74,5.14694
74.5,5.11013
75,5.07378
75,5.07378
75,5.07378
75.5,5.04384
76,5.0142
76,5.0142
76,5.0142
76.5,4.98487
77,4.95584
77,4.95584
77,4.95584
77.5,4.95007
78,4.94431
78,4.94431
78,4.94431
78.5,5.02602
79,5.11013
79,5.11013
79,5.11013
79.5,5.20304
80,5.29903
80,5.29903
80,5.29903
80.5,5.43892
81,5.58571
81,5.58571
81,5.58571
81.5,5.7551
82,5.9343
82,5.9343
82,5.9343
82.5,6.11574
83,6.30785
83,6.30785
83,6.30785
83.5,6.2104
84,6.11574
84,6.11574
84,6.11574
84.5,6.0736
85,6.032
85,6.032
85,6.032
85.5,6.14984
86,6.27208
86,6.27208
86,6.27208
86.5,6.25434
87,6.2367
87,6.2367
87,6.2367
87.5,6.62793
88,7.06732
88,7.06732
88,7.06732
88.5,7.1232
89,7.17989
89,7.17989
89,7.17989
89.5,7.16849
90,7.15712
90,7.15712
90,7.15712
90.5,7.06732
91,6.97955
91,6.97955
91,6.97955
91.5,6.91503
92,6.8516
92,6.8516
92,6.8516
92.5,6.76867
93,6.68758
93,6.68758
93,6.68758
93.5,6.5403
94,6.39895
94,6.39895
94,6.39895
94.5,6.33492
95,6.27208
95,6.27208
95,6.27208
95.5,5.80856
96,5.40501
96,5.40501
96,5.40501
96.5,5.41176
97,5.41853
97,5.41853
97,5.41853
97.5,5.39827
98,5.37816
98,5.37816
98,5.37816
98.5,5.38485
99,5.39155
99,5.39155
99,5.39155
99.5,5.37816
100,5.36482
100,5.36482
100,5.36482
100.5,5.34493
101,5.32517
101,5.32517
101,5.32517
101.5,5.32517
102,5.32517
102,5.32517
102,5.32517
102.5,5.27313
103,5.22199
103,5.22199
103,5.22199
103.5,5.27958
104,5.33833
104,5.33833
104,5.33833
104.5,5.37816
105,5.41853
105,5.41853
105,5.41853
105.5,5.45259
106,5.48706
106,5.48706
106,5.48706
106.5,5.55011
107,5.6145
107,5.6145
107,5.6145
107.5,5.63628
108,5.65821
108,5.65821
108,5.65821
108.5,5.46633
109,5.28605
109,5.28605
109,5.28605
109.5,5.44575
110,5.6145
110,5.6145
110,5.6145
110.5,5.73247
111,5.85512
111,5.85512
111,5.85512
111.5,5.86295
112,5.8708
112,5.8708
112,5.8708
112.5,5.87867
113,5.88656
113,5.88656
113,5.88656
113.5,5.85512
114,5.824
114,5.824
114,5.824
114.5,5.77028
115,5.71747
115,5.71747
115,5.71747
115.5,5.64357
116,5.57142
116,5.57142
116,5.57142
116.5,5.51492
117,5.45946
117,5.45946
117,5.45946
117.5,5.45946
118,5.45946
118,5.45946
118,5.45946
118.5,5.45259
119,5.44575
119,5.44575
119,5.44575
119.5,5.26026
120,5.08584
120,5.08584
120,5.08584
120.5,5.0798
121,5.07378
121,5.07378
121,5.07378
121.5,5.06776
122,5.06176
122,5.06176
122,5.06176
122.5,5.06176
123,5.06176
123,5.06176
123,5.06176
123.5,5.05578
124,5.0498
124,5.0498
124,5.0498
124.5,5.04384
125,5.03789
125,5.03789
125,5.03789
125.5,5.04384
126,5.0498
126,5.0498
126,5.0498
126.5,5.04384
127,5.03789
127,5.03789
127,5.03789
127.5,5.03789
128,5.03789
128,5.03789
128,5.03789
128.5,5.03789
129,5.03789
129,5.03789
129,5.03789
129.5,5.05578
130,5.07378
130,5.07378
130,5.07378
130.5,5.0798
131,5.08584
131,5.08584
131,5.08584
131.5,5.18422
132,5.28605
132,5.28605
132,5.28605
132.5,5.22833
133,5.17174
133,5.17174
133,5.17174
133.5,5.24106
134,5.31207
134,5.31207
134,5.31207
134.5,5.39155
135,5.47322
135,5.47322
135,5.47322
135.5,5.47322
136,5.47322
136,5.47322
136,5.47322
136.5,5.42531
137,5.37816
137,5.37816
137,5.37816
137.5,5.39155
138,5.40501
138,5.40501
138,5.40501
138.5,5.33174
139,5.26026
139,5.26026
139,5.26026
139.5,5.14077
140,5.02602
140,5.02602
140,5.02602
140.5,4.99072
141,4.95584
141,4.95584
141,4.95584
141.5,4.88735
142,4.82047
142,4.82047
142,4.82047
142.5,4.93283
143,5.0498
143,5.0498
143,5.0498
143.5,4.57283
143.667,4.43033
143.667,7.61758
144,6.96129
144,6.96129
144,6.96129
144.5,6.93016
145,6.8993
145,6.8993
145,6.8993
145.5,6.82824
146,6.75851
146,6.75851
146,6.75851
146.5,6.76839
147,6.7783
147,6.7783
147,6.7783
147.5,6.76839
148,6.75851
148,6.75851
148,6.75851
148.5,6.86868
149,6.98218
149,6.98218
149,6.98218
149.5,7.02431
150,7.0669
150,7.0669
150,7.0669
150.5,7.10998
151,7.15353
151,7.15353
151,7.15353
151.5,7.12082
152,7.08838
152,7.08838
152,7.08838
152.5,7.15353
153,7.21979
153,7.21979
153,7.21979
153.5,7.2646
154,7.30991
154,7.30991
154,7.30991
154.5,7.30991
155,7.30991
155,7.30991
155,7.30991
155.5,7.30991
156,7.30991
156,7.30991
156,7.30991
156.5,7.2646
157,7.21979
157,7.21979
157,7.21979
157.5,7.23095
158,7.24213
158,7.24213
158,7.24213
158.5,7.20867
159,7.1755
159,7.1755
159,7.1755
159.5,7.19758
160,7.21979
160,7.21979
160,7.21979
160.5,7.27588
161,7.33277
161,7.33277
161,7.33277
161.5,7.37887
162,7.42551
162,7.42551
162,7.42551
162.5,7.27588
163,7.13169
163,7.13169
163,7.13169
163.5,7.07763
164,7.02431
164,7.02431
164,7.02431
164.5,7.00318
165,6.98218
165,6.98218
165,6.98218
165.5,6.95088
166,6.91985
166,6.91985
166,6.91985
166.5,6.87886
167,6.83831
167,6.83831
167,6.83831
167.5,7.05621
168,7.28719
168,7.28719
168,7.28719
168.5,7.29854
169,7.30991
169,7.30991
169,7.30991
169.5,7.33277
170,7.35575
170,7.35575
170,7.35575
170.5,7.33277
171,7.30991
171,7.30991
171,7.30991
171.5,7.27588
172,7.24213
172,7.24213
172,7.24213
172.5,7.21979
173,7.19758
173,7.19758
173,7.19758
173.5,7.21979
174,7.24213
174,7.24213
174,7.24213
174.5,7.1426
175,7.04554
175,7.04554
175,7.04554
175.5,7.03491
176,7.02431
176,7.02431
176,7.02431
176.5,7.12082
177,7.21979
177,7.21979
177,7.21979
177.5,7.19758
178,7.1755
178,7.1755
178,7.1755
178.5,7.19758
179,7.21979
179,7.21979
179,7.21979
179.5,7.24213
180,7.2646
180,7.2646
180,7.2646
180.5,7.29854
181,7.33277
181,7.33277
181,7.33277
181.5,7.33277
182,7.33277
182,7.33277
182,7.33277
182.5,7.34424
183,7.35575
183,7.35575
183,7.35575
183.5,7.29854
184,7.24213
184,7.24213
184,7.24213
184.5,7.24213
185,7.24213
185,7.24213
185,7.24213
185.5,7.21979
186,7.19758
186,7.19758
186,7.19758
186.5,7.18652
187,7.1755
187,7.1755
187,7.1755
187.5,7.21979
188,7.2646
188,7.2646
188,7.2646
188.5,7.32132
189,7.37887
189,7.37887
189,7.37887
189.5,7.33277
190,7.28719
190,7.28719
190,7.28719
190.5,7.21979
191,7.15353
191,7.15353
