,time,ptg_demand,pth_demand,T_amb_ptg,T_amb_avg,WF,PV,T_amb_pth
0,0,0.003786030,3.91000,11.8,12.45,88.750949,0,11.8
1,3600,0.003782465,3.90500,11.9,12.45,90.293251,0,11.9
2,7200,0.003768205,3.88500,12.3,12.45,92.601445,0,12.3
3,10800,0.003750380,3.86000,12.8,12.45,94.943193,0,12.8
4,14400,0.003739685,3.84500,13.1,12.45,97.679965,0,13.1
5,18000,0.003714730,3.81000,13.8,12.45,98.850022,0,13.8
6,21600,0.003707600,3.80000,14,12.45,99.100837,0,14
7,25200,0.003764640,3.88000,12.4,12.45,99.382052,0,12.4
8,28800,0.003786030,3.91000,11.8,12.45,99.238043,0.291983,11.8
9,32400,0.003789595,3.91500,11.7,12.45,99.349675,5.718923,11.7
10,36000,0.003775335,3.89500,12.1,12.45,99.356365,15.337419,12.1
11,39600,0.003750380,3.86000,12.8,12.45,99.333389,43.767656,12.8
12,43200,0.003739685,3.84500,13.1,12.45,99.383457,69.304444,13.1
13,46800,0.003721860,3.82000,13.6,12.45,99.278348,68.046914,13.6
14,50400,0.003721860,3.82000,13.6,12.45,99.128934,58.793726,13.6
15,54000,0.003736120,3.84000,13.2,12.45,99.122275,37.387539,13.2
16,57600,0.003750380,3.86000,12.8,12.45,99.375851,8.831553,12.8
17,61200,0.003771770,3.89000,12.2,12.45,99.195918,0,12.2
18,64800,0.003778900,3.90000,12,12.45,98.507267,0,12
19,68400,0.003782465,3.90500,11.9,12.45,97.685474,0,11.9
20,72000,0.003789595,3.91500,11.7,12.45,96.489627,0,11.7
21,75600,0.003796725,3.92500,11.5,12.45,92.980903,0,11.5
22,79200,0.003800290,3.93000,11.4,12.45,89.190383,0,11.4
23,82800,0.003803855,3.93500,11.3,12.45,86.740936,0,11.3
24,86400,0.003721860,3.82000,13.6,13.55,26.222646,0,13.6
25,90000,0.003714730,3.81000,13.8,13.55,25.343918,0,13.8
26,93600,0.003714730,3.81000,13.8,13.55,27.907221,0,13.8
27,97200,0.003718295,3.81500,13.7,13.55,30.633557,0,13.7
28,100800,0.003718295,3.81500,13.7,13.55,30.509491,0,13.7
29,104400,0.003707600,3.80000,14,13.55,30.188681,0,14
30,108000,0.003700470,3.79000,14.2,13.55,32.822538,0,14.2
31,111600,0.003704035,3.79500,14.1,13.55,31.990499,1.816785,14.1
32,115200,0.003696905,3.78500,14.3,13.55,25.590066,6.871221,14.3
33,118800,0.003693340,3.78000,14.4,13.55,26.332091,17.31858,14.4
34,122400,0.003696905,3.78500,14.3,13.55,38.080872,27.314793,14.3
35,126000,0.003693340,3.78000,14.4,13.55,49.16786,32.821879,14.4
36,129600,0.003704035,3.79500,14.1,13.55,54.587354,43.796938,14.1
37,133200,0.003682645,3.76500,14.7,13.55,57.749304,53.617628,14.7
38,136800,0.003675515,3.75500,14.9,13.55,59.427451,49.577106,14.9
39,140400,0.003675515,3.75500,14.9,13.55,59.39134,40.423999,14.9
40,144000,0.003693340,3.78000,14.4,13.55,57.882151,25.787706,14.4
41,147600,0.003700470,3.79000,14.2,13.55,54.29725,10.674833,14.2
42,151200,0.003736120,3.84000,13.2,13.55,54.086295,2.161488,13.2
43,154800,0.003771770,3.89000,12.2,13.55,56.603001,0,12.2
44,158400,0.003782465,3.90500,11.9,13.55,54.587368,0,11.9
45,162000,0.003796725,3.92500,11.5,13.55,50.634278,0,11.5
46,165600,0.003821680,3.96000,10.8,13.55,46.900932,0,10.8
47,169200,0.003846635,3.99500,10.1,13.55,43.229483,0,10.1
48,172800,0.003839505,3.98500,10.3,14.98,5.77891,0,10.3
49,176400,0.003832375,3.97500,10.5,14.98,3.129872,0,10.5
50,180000,0.003850200,4.00000,10,14.98,1.549057,0,10
51,183600,0.003846635,3.99500,10.1,14.98,0.716795,0,10.1
52,187200,0.003853765,4.00500,9.9,14.98,0.413059,0,9.9
53,190800,0.003853765,4.00500,9.9,14.98,1.095603,0,9.9
54,194400,0.003839505,3.98500,10.3,14.98,3.165853,1.133936,10.3
55,198000,0.003810985,3.94500,11.1,14.98,6.867586,9.059934,11.1
56,201600,0.003743250,3.85000,13,14.98,10.653679,19.523916,13
57,205200,0.003696905,3.78500,14.3,14.98,14.436677,32.100078,14.3
58,208800,0.003618475,3.67500,16.5,14.98,18.870301,40.728161,16.5
59,212400,0.003661255,3.73500,15.3,14.98,24.356035,44.094185,15.3
60,216000,0.003582825,3.62500,17.5,14.98,27.905152,47.254563,17.5
61,219600,0.003547175,3.57500,18.5,14.98,29.307875,48.6245,18.5
62,223200,0.003575695,3.61500,17.7,14.98,29.040348,66.037782,17.7
63,226800,0.003529350,3.55000,19,14.98,25.193696,65.517127,19
64,230400,0.003507960,3.52000,19.6,14.98,20.474632,69.020134,19.6
65,234000,0.003515090,3.53000,19.4,14.98,13.290124,60.238669,19.4
66,237600,0.003507960,3.52000,19.6,14.98,7.482077,52.116871,19.6
67,241200,0.003525785,3.54500,19.1,14.98,4.426706,20.423694,19.1
68,244800,0.003547175,3.57500,18.5,14.98,7.58319,6.726103,18.5
69,248400,0.003593520,3.64000,17.2,14.98,20.709728,0,17.2
70,252000,0.003629170,3.69000,16.2,14.98,37.600406,0,16.2
71,255600,0.003632735,3.69500,16.1,14.98,51.959945,0,16.1
72,259200,0.003436660,3.42000,21.6,26.77,71.760561,0,21.6
73,262800,0.003422400,3.40000,22,26.77,67.431457,0,22
74,266400,0.003436660,3.42000,21.6,26.77,60.689148,0,21.6
