"time","hP_with_boiler.Pelec"
66,29.6125
66,29.6125
66.25,29.7968
66.5,30.0099
66.75,30.224
67,30.4392
67,30.4392
67,30.4392
67.25,30.6947
67.5,30.9558
67.75,31.2185
68,31.4828
68,31.4828
68,31.4828
68.25,32.0297
68.5,32.6143
68.75,33.2064
69,33.806
69,33.806
69,33.806
69.25,34.2872
69.5,34.7584
69.75,35.2343
70,35.7149
70,35.7149
70,35.7149
70.25,35.81
70.5,35.8585
70.75,35.907
71,35.9555
71,35.9555
71,35.9555
71.25,33.621
71.5,31.1279
71.75,28.7681
72,26.5363
72,26.5363
72,26.5363
72.25,26.208
72.5,26.0526
72.75,25.8979
73,25.7439
73,25.7439
73,25.7439
73.25,25.8719
73.5,26.0263
73.75,26.1815
74,26.3372
74,26.3372
74,26.3372
74.25,26.5653
74.5,26.8015
74.75,27.0391
75,27.2781
75,27.2781
75,27.2781
75.25,27.4821
75.5,27.6835
75.75,27.8859
76,28.0894
76,28.0894
76,28.0894
76.25,28.2939
76.5,28.4994
76.75,28.7059
77,28.9135
77,28.9135
77,28.9135
77.25,28.9705
77.5,29.0122
77.75,29.054
78,29.0957
78,29.0957
78,29.0957
78.25,28.5707
78.5,27.9958
78.75,27.429
79,26.8702
79,26.8702
79,26.8702
79.25,26.2836
79.5,25.7025
79.75,25.1304
80,24.5671
80,24.5671
80,24.5671
80.25,23.8105
80.5,23.0525
80.75,22.3112
81,21.5863
81,21.5863
81,21.5863
81.25,20.8156
81.5,20.059
81.75,19.3213
82,18.6021
82,18.6021
82,18.6021
82.25,17.9293
82.5,17.275
82.75,16.6371
83,16.0152
83,16.0152
83,16.0152
83.25,16.2688
83.5,16.5802
83.75,16.8956
84,17.215
84,17.215
84,17.215
84.25,17.3725
84.5,17.52
84.75,17.6683
85,17.8175
85,17.8175
85,17.8175
85.25,17.437
85.5,17.0269
85.75,16.6232
86,16.2262
86,16.2262
86,16.2262
86.25,16.2557
86.5,16.312
86.75,16.3685
87,16.4251
87,16.4251
87,16.4251
87.25,15.5242
87.5,14.5954
87.75,13.7005
88,12.8392
88,12.8392
88,12.8392
88.25,12.71
88.5,12.6168
88.75,12.524
89,12.4316
89,12.4316
89,12.4316
89.25,12.4449
89.5,12.4634
89.75,12.4819
90,12.5003
90,12.5003
90,12.5003
90.25,12.6427
90.5,12.7921
90.75,12.9424
91,13.0936
91,13.0936
91,13.0936
91.25,13.2096
91.5,13.3242
91.75,13.4394
92,13.5551
92,13.5551
92,13.5551
92.25,13.7082
92.5,13.8643
92.75,14.0213
93,14.1792
93,14.1792
93,14.1792
93.25,14.4761
93.5,14.7842
93.75,15.096
94,15.4113
94,15.4113
94,15.4113
94.25,15.6093
94.5,15.8017
94.75,15.9956
95,16.1911
95,16.1911
95,16.1911
95.25,17.7212
95.5,19.4366
95.75,21.2603
96,23.1963
96,23.1963
96,23.1963
96.25,23.319
96.5,23.2831
96.75,23.2473
97,23.2115
97,23.2115
97,23.2115
97.25,23.3078
97.5,23.4157
97.75,23.5238
98,23.6323
98,23.6323
98,23.6323
98.25,23.6075
98.5,23.5713
98.75,23.5352
99,23.4992
99,23.4992
99,23.4992
99.25,23.5628
99.5,23.6352
99.75,23.7077
100,23.7804
100,23.7804
100,23.7804
100.25,23.8869
100.5,23.9965
100.75,24.1065
101,24.2168
101,24.2168
101,24.2168
101.25,24.2257
101.5,24.2257
101.75,24.2257
102,24.2257
102,24.2257
102,24.2257
102.25,24.4977
102.5,24.7958
102.75,25.0964
103,25.3995
103,25.3995
103,25.3995
103.25,25.1117
103.5,24.773
103.75,24.4374
104,24.1051
104,24.1051
104,24.1051
104.25,23.8765
104.5,23.6581
104.75,23.4411
105,23.2254
105,23.2254
105,23.2254
105.25,23.044
105.5,22.8663
105.75,22.6895
106,22.5139
106,22.5139
106,22.5139
106.25,22.21
106.5,21.8986
106.75,21.5902
107,21.2848
107,21.2848
107,21.2848
107.25,21.1689
107.5,21.0682
107.75,20.9678
108,20.8677
108,20.8677
108,20.8677
108.25,21.7043
108.5,22.6388
108.75,23.6002
109,24.5891
109,24.5891
109,24.5891
109.25,23.8557
109.5,22.9895
109.75,22.145
110,21.3219
110,21.3219
110,21.3219
110.25,20.7657
110.5,20.2385
110.75,19.7205
111,19.2115
111,19.2115
111,19.2115
