time,electrolyser_detailed1.electrochemical.Top,modelA
48,337.659,333.15
48.25,337.658,333.15
48.5,337.648,333.15
48.75,337.632,333.15
49,337.611,333.15
49,337.611,333.15
49,337.611,333.15
49.25,337.604,333.15
49.5,337.622,333.15
49.75,337.658,333.15
50,337.707,333.15
50,337.707,333.15
50,337.707,333.15
50.25,337.751,333.15
50.5,337.778,333.15
50.75,337.793,333.15
51,337.799,333.15
51,337.799,333.15
51,337.799,333.15
51.25,337.806,333.15
51.5,337.82,333.15
51.75,337.839,333.15
52,337.862,333.15
52,337.862,333.15
52,337.862,333.15
52.25,337.882,333.15
52.5,337.898,333.15
52.75,337.909,333.15
53,337.917,333.15
53,337.917,333.15
53,337.917,333.15
53.25,337.912,333.15
53.5,337.891,333.15
53.75,337.857,333.15
54,337.814,333.15
54,337.814,333.15
54,337.814,333.15
54.25,337.754,333.15
54.5,337.675,333.15
54.75,337.581,333.15
55,337.476,333.15
55,337.476,333.15
55,337.476,333.15
55.25,337.337,333.15
55.5,337.15,333.15
55.75,336.928,333.15
56,336.681,333.15
56,336.681,333.15
56,336.681,333.15
56.25,336.431,333.15
56.5,336.19,333.15
56.75,335.957,333.15
57,335.729,333.15
57,335.729,333.15
57,335.729,333.15
57.25,335.484,333.15
57.5,335.207,333.15
57.75,334.907,333.15
58,334.589,333.15
58,334.589,333.15
58,334.589,333.15
58.25,334.339,333.15
58.5,334.212,333.15
58.75,334.175,333.15
59,334.204,333.15
59,334.204,333.15
59,334.204,333.15
59.25,334.2,333.15
59.5,334.096,333.15
59.75,333.92,333.15
60,333.692,333.15
60,333.692,333.15
60,333.692,333.15
60.25,333.456,333.15
60.5,333.238,333.15
60.75,333.034,333.15
61,332.84,333.15
61,332.84,333.15
61,332.84,333.15
61.25,332.696,333.15
61.5,332.628,333.15
61.75,332.616,333.15
62,332.644,333.15
62,332.644,333.15
62,332.644,333.15
62.25,332.65,333.15
62.5,332.596,333.15
62.75,332.497,333.15
63,332.366,333.15
63,332.366,333.15
63,332.366,333.15
63.25,332.228,333.15
63.5,332.1,333.15
63.75,331.98,333.15
64,331.866,333.15
64,331.866,333.15
64,331.866,333.15
64.25,331.774,333.15
64.5,331.716,333.15
64.75,331.683,333.15
65,331.668,333.15
65,331.668,333.15
65,331.668,333.15
65.25,331.656,333.15
65.5,331.639,333.15
65.75,331.618,333.15
66,331.593,333.15
66,331.593,333.15
66,331.593,333.15
66.25,331.583,333.15
66.5,331.598,333.15
66.75,331.631,333.15
67,331.679,333.15
67,331.679,333.15
67,331.679,333.15
67.25,331.739,333.15
67.5,331.81,333.15
67.75,331.888,333.15
68,331.973,333.15
68,331.973,333.15
68,331.973,333.15
68.25,332.079,333.15
68.5,332.215,333.15
68.75,332.374,333.15
69,332.549,333.15
69,332.549,333.15
