"time","electrolyser_simple.electrochemical_simple.efficiency2","electrolyser_detailed1.electrochemical.efficiency2"
40.5,0.705316,0.706757
40.75,0.705282,0.70676
41,0.705249,0.70676
41,0.705249,0.70676
41,0.705249,0.70676
41.25,0.705081,0.706642
41.5,0.704913,0.706548
41.75,0.704745,0.706472
42,0.704577,0.706409
42,0.704577,0.706409
42,0.704577,0.706409
42.25,0.704409,0.706356
42.5,0.704241,0.706309
42.75,0.704073,0.706267
43,0.703905,0.706229
43,0.703905,0.706229
43,0.703905,0.706229
43.25,0.703854,0.706293
43.5,0.703804,0.706338
43.75,0.703754,0.706367
44,0.703704,0.706386
44,0.703704,0.706386
44,0.703704,0.706386
44.25,0.703637,0.706382
44.5,0.70357,0.706376
44.75,0.703503,0.706368
45,0.703436,0.70636
45,0.703436,0.70636
45,0.703436,0.70636
45.25,0.703319,0.706308
45.5,0.703202,0.706264
45.75,0.703085,0.706227
46,0.702969,0.706195
46,0.702969,0.706195
46,0.702969,0.706195
46.25,0.702852,0.706167
46.5,0.702735,0.706141
46.75,0.702618,0.706117
47,0.702502,0.706094
47,0.702502,0.706094
47,0.702502,0.706094
47.25,0.702534,0.706198
47.5,0.702567,0.706276
47.75,0.702601,0.706333
48,0.702634,0.706374
48,0.702634,0.706374
48,0.702634,0.706374
48.25,0.702667,0.706405
48.5,0.702701,0.70643
48.75,0.702734,0.706449
49,0.702767,0.706464
49,0.702767,0.706464
49,0.702767,0.706464
49.25,0.702685,0.706379
49.5,0.702602,0.706313
49.75,0.702518,0.706261
50,0.702435,0.706221
50,0.702435,0.706221
50,0.702435,0.706221
50.25,0.702451,0.706271
50.5,0.702467,0.706309
50.75,0.702484,0.706337
51,0.702501,0.706358
51,0.702501,0.706358
51,0.702501,0.706358
51.25,0.702468,0.706332
51.5,0.702435,0.706311
51.75,0.702401,0.706294
52,0.702368,0.706281
52,0.702368,0.706281
52,0.702368,0.706281
52.25,0.702368,0.706297
52.5,0.702368,0.706309
52.75,0.702368,0.706318
53,0.702368,0.706325
53,0.702368,0.706325
