time,electrolyser_detailed.electrochemical.Vcell,electrolyser_detailed.electrochemical.jcell
47.04,1.68555,0.737791
47.28,1.68605,0.741339
47.52,1.68654,0.744885
47.76,1.68703,0.74843
48,1.68751,0.751973
48.24,1.688,0.755514
48.48,1.68849,0.759054
48.72,1.68898,0.762591
48.96,1.68946,0.766127
49.2,1.68995,0.769662
49.44,1.69044,0.773194
49.68,1.69092,0.776725
49.92,1.6914,0.780254
50.16,1.69189,0.783781
50.4,1.69237,0.787307
50.64,1.69285,0.790831
50.88,1.69333,0.794353
51.12,1.69381,0.797873
51.36,1.69429,0.801392
51.6,1.69477,0.804909
51.84,1.69525,0.808424
52.08,1.69573,0.811938
52.32,1.69621,0.81545
52.56,1.69669,0.81896
52.8,1.69716,0.822468
53.04,1.69764,0.825975
53.28,1.69811,0.82948
53.52,1.69859,0.832984
53.76,1.69906,0.836486
54,1.69954,0.839986
54.24,1.70001,0.843484
54.48,1.70048,0.846981
54.72,1.70095,0.850476
54.96,1.70143,0.853969
55.2,1.7019,0.857461
55.44,1.70237,0.860951
55.68,1.70284,0.86444
55.92,1.70331,0.867926
56.16,1.70378,0.871412
56.4,1.70424,0.874895
56.64,1.70471,0.878377
56.88,1.70518,0.881857
57.12,1.70565,0.885336
57.36,1.70611,0.888813
57.6,1.70658,0.892288
57.84,1.70704,0.895762
58.08,1.70751,0.899234
58.32,1.70797,0.902704
58.56,1.70844,0.906173
58.8,1.7089,0.90964
59.04,1.70936,0.913106
59.28,1.70982,0.91657
59.52,1.71029,0.920032
59.76,1.71075,0.923493
60,1.71121,0.926952
60.24,1.71167,0.93041
60.48,1.71213,0.933866
60.72,1.71259,0.93732
60.96,1.71304,0.940773
61.2,1.7135,0.944224
61.44,1.71396,0.947674
61.68,1.71442,0.951122
61.92,1.71488,0.954568
62.16,1.71533,0.958013
62.4,1.71579,0.961456
62.64,1.71624,0.964898
62.88,1.7167,0.968338
63.12,1.71715,0.971777
63.36,1.71761,0.975214
63.6,1.71806,0.97865
63.84,1.71851,0.982083
64.08,1.71897,0.985516
64.32,1.71942,0.988947
64.56,1.71987,0.992376
64.8,1.72032,0.995804
65.04,1.72077,0.99923
65.28,1.72122,1.00265
65.52,1.72167,1.00608
65.76,1.72212,1.0095
66,1.72257,1.01292
66.24,1.72302,1.01634
66.48,1.72347,1.01975
66.72,1.72392,1.02317
66.96,1.72437,1.02658
67.2,1.72481,1.03
67.44,1.72526,1.03341
67.68,1.72571,1.03682
67.92,1.72615,1.04022
68.16,1.7266,1.04363
68.4,1.72704,1.04704
68.64,1.72749,1.05044
68.88,1.72793,1.05384
69.12,1.72837,1.05724
69.36,1.72882,1.06064
69.6,1.72926,1.06404
69.84,1.7297,1.06743
70.08,1.73015,1.07083
70.32,1.73059,1.07422
70.56,1.73103,1.07761
70.8,1.73147,1.081
71.04,1.73191,1.08439
71.28,1.73235,1.08778
71.52,1.73279,1.09116
71.76,1.73323,1.09455
72,1.73367,1.09793
72.24,1.73411,1.10131
72.48,1.73455,1.10469
72.72,1.73498,1.10807
72.96,1.73542,1.11145
73.2,1.73586,1.11482
73.44,1.7363,1.1182
73.68,1.73673,1.12157
73.92,1.73717,1.12494
74.16,1.7376,1.12831
74.4,1.73804,1.13168
74.64,1.73847,1.13504
74.88,1.73891,1.13841
75.12,1.73934,1.14177
75.36,1.73978,1.14513
75.6,1.74021,1.1485
75.84,1.74064,1.15185
76.08,1.74107,1.15521
76.32,1.74151,1.15857
76.56,1.74194,1.16192
76.8,1.74237,1.16528
77.04,1.7428,1.16863
77.28,1.74323,1.17198
77.52,1.74366,1.17533
77.76,1.74409,1.17868
78,1.74452,1.18203
78.24,1.74495,1.18537
78.48,1.74538,1.18871
78.72,1.74581,1.19206
78.96,1.74624,1.1954
79.2,1.74666,1.19874
79.44,1.74709,1.20208
79.68,1.74752,1.20541
79.92,1.74795,1.20875
80.16,1.74837,1.21208
80.4,1.7488,1.21542
80.64,1.74922,1.21875
80.88,1.74965,1.22208
81.12,1.75007,1.22541
81.36,1.7505,1.22873
81.6,1.75092,1.23206
81.84,1.75135,1.23538
82.08,1.75177,1.23871
82.32,1.75219,1.24203
82.56,1.75262,1.24535
82.8,1.75304,1.24867
83.04,1.75346,1.25199
83.28,1.75388,1.2553
83.52,1.75431,1.25862
83.76,1.75473,1.26193
84,1.75515,1.26524
84.24,1.75557,1.26855
84.48,1.75599,1.27186
84.72,1.75641,1.27517
84.96,1.75683,1.27848
85.2,1.75725,1.28178
85.44,1.75767,1.28509
85.68,1.75809,1.28839
85.92,1.7585,1.29169
86.16,1.75892,1.29499
86.4,1.75934,1.29829
86.64,1.75976,1.30159
86.88,1.76017,1.30489
87.12,1.76059,1.30818
87.36,1.76101,1.31148
87.6,1.76142,1.31477
87.84,1.76184,1.31806
88.08,1.76225,1.32135
88.32,1.76267,1.32464
88.56,1.76308,1.32792
88.8,1.7635,1.33121
89.04,1.76391,1.33449
89.28,1.76433,1.33778
89.52,1.76474,1.34106
89.76,1.76515,1.34434
90,1.76557,1.34762
90.24,1.76598,1.3509
90.48,1.76639,1.35417
90.72,1.7668,1.35745
90.96,1.76721,1.36072
91.2,1.76763,1.364
91.44,1.76804,1.36727
91.68,1.76845,1.37054
91.92,1.76886,1.37381
92.16,1.76927,1.37708
92.4,1.76968,1.38034
92.64,1.77009,1.38361
92.88,1.77049,1.38687
93.12,1.7709,1.39013
93.36,1.77131,1.3934
93.6,1.77172,1.39666
93.84,1.77213,1.39991
94.08,1.77254,1.40317
94.32,1.77294,1.40643
94.56,1.77335,1.40968
94.8,1.77376,1.41294
95.04,1.77416,1.41619
95.28,1.77457,1.41944
95.52,1.77497,1.42269
95.76,1.77538,1.42594
96,1.77578,1.42919
96.24,1.77619,1.43243
96.48,1.77659,1.43568
96.72,1.777,1.43892
96.96,1.7774,1.44217
97.2,1.77781,1.44541
97.44,1.77821,1.44865
97.68,1.77861,1.45189
97.92,1.77901,1.45513
98.16,1.77942,1.45836
98.4,1.77982,1.4616
98.64,1.78022,1.46483
98.88,1.78062,1.46806
99.12,1.78102,1.4713
99.36,1.78142,1.47453
99.6,1.78182,1.47776
99.84,1.78223,1.48098
100,1.78249,1.48314
100,1.78249,1.48314
100.08,1.78249,1.48314
100.32,1.78249,1.48314
100.56,1.78249,1.48314
100.8,1.78249,1.48314
101.04,1.78248,1.48314
101.28,1.78248,1.48314
101.52,1.78248,1.48315
101.76,1.78248,1.48315
102,1.78248,1.48315
102.24,1.78247,1.48315
102.48,1.78247,1.48315
102.72,1.78247,1.48315
102.96,1.78247,1.48315
103.2,1.78247,1.48316
103.44,1.78247,1.48316
103.68,1.78246,1.48316
103.92,1.78246,1.48316
104.16,1.78246,1.48316
104.4,1.78246,1.48316
104.64,1.78246,1.48317
104.88,1.78245,1.48317
105.12,1.78245,1.48317
105.36,1.78245,1.48317
105.6,1.78245,1.48317
105.84,1.78245,1.48317
106.08,1.78245,1.48317
106.32,1.78244,1.48318
106.56,1.78244,1.48318
106.8,1.78244,1.48318
107.04,1.78244,1.48318
107.28,1.78244,1.48318
107.52,1.78243,1.48318
107.76,1.78243,1.48319
108,1.78243,1.48319
108.24,1.78243,1.48319
108.48,1.78243,1.48319
108.72,1.78243,1.48319
108.96,1.78242,1.48319
109.2,1.78242,1.48319
109.44,1.78242,1.4832
109.68,1.78242,1.4832
109.92,1.78242,1.4832
110.16,1.78242,1.4832
110.4,1.78241,1.4832
110.64,1.78241,1.4832
110.88,1.78241,1.4832
111.12,1.78241,1.48321
111.36,1.78241,1.48321
111.6,1.7824,1.48321
111.84,1.7824,1.48321
112.08,1.7824,1.48321
112.32,1.7824,1.48321
112.56,1.7824,1.48322
112.8,1.7824,1.48322
113.04,1.78239,1.48322
113.28,1.78239,1.48322
113.52,1.78239,1.48322
113.76,1.78239,1.48322
114,1.78239,1.48322
114.24,1.78238,1.48323
114.48,1.78238,1.48323
114.72,1.78238,1.48323
114.96,1.78238,1.48323
115.2,1.78238,1.48323
115.44,1.78238,1.48323
115.68,1.78237,1.48323
115.92,1.78237,1.48324
116.16,1.78237,1.48324
116.4,1.78237,1.48324
116.64,1.78237,1.48324
116.88,1.78236,1.48324
117.12,1.78236,1.48324
117.36,1.78236,1.48325
117.6,1.78236,1.48325
117.84,1.78236,1.48325
118.08,1.78236,1.48325
118.32,1.78235,1.48325
118.56,1.78235,1.48325
118.8,1.78235,1.48325
119.04,1.78235,1.48326
119.28,1.78235,1.48326
119.52,1.78234,1.48326
119.76,1.78234,1.48326
120,1.78234,1.48326
120,1.78234,1.48326
