#1	
double tab1(25,2)	
0	17.18
3600	17.54
7200	17.82
10800	17.85
14400	17.78
18000	17.71
21600	17.62
25200	17.69
28800	17.70
32400	17.76
36000	17.79
39600	17.71
43200	17.30
46800	16.87
50400	16.18
54000	15.56
57600	15.24
61200	14.93
64800	14.42
68400	13.88
72000	13.45
75600	13.55
79200	13.38
82800	12.89
86400	12.47
