,time,Flexibledemand
0,0.0,24.749282687835503
1,900.0,25.12138347737995
2,1800.0,24.984487751624457
3,2700.0,24.893545325984704
4,3600.0,23.388270016563922
5,4500.0,23.120780830155724
6,5400.0,23.11063898079813
7,6300.0,23.1213703455943
8,7200.0,20.815875538578425
9,8100.0,19.652426323597652
10,9000.0,19.651475126951752
11,9900.0,19.722281649954965
12,10800.0,17.380747800432474
13,11700.0,15.929279099084752
14,12600.0,15.928996272509494
15,13500.0,16.022142830847343
16,14400.0,13.285458380145187
17,15300.0,12.410383812126867
18,16200.0,12.410240279638273
19,17100.0,12.470145706745583
20,18000.0,11.300094446376548
21,18900.0,9.330205222022201
22,19800.0,9.329990375617655
23,20700.0,9.458345539679897
24,21600.0,9.207527424751206
25,22500.0,8.621086314214622
26,23400.0,8.62103148460966
27,24300.0,8.666339994450922
28,25200.0,8.385110832812032
29,26100.0,12.87015345195529
30,27000.0,12.870960203852647
31,27900.0,12.59254235224337
32,28800.0,12.444567302938324
33,29700.0,14.261705135606277
34,30600.0,14.262087903536852
35,31500.0,14.136065486472276
36,32400.0,8.597528477865012
37,33300.0,8.9248990141255
38,34200.0,8.924956172872754
39,35100.0,8.89817155131513
40,36000.0,0.04414234279278162
41,36900.0,-0.3376652372303113
42,37800.0,-0.33790130421549236
43,38700.0,-0.33789928580992523
44,39600.0,-28.74516225297097
45,40500.0,-30.30671446807054
46,41400.0,-30.307029758927598
47,42300.0,-30.307029822587197
48,43200.0,-55.89388448586257
49,44100.0,-56.55077343221697
50,45000.0,-56.55089296661953
51,45900.0,-56.55089298837126
52,46800.0,-55.18825427103704
53,47700.0,-56.266830534335355
54,48600.0,-56.26699491390772
55,49500.0,-56.26699493895981
56,50400.0,-46.86439586178551
57,51300.0,-46.86439586178551
58,52200.0,-46.86439586178494
59,53100.0,-46.86439586178494
60,54000.0,-25.451549347662592
61,54900.0,-24.590334673334013
62,55800.0,-24.59018335549038
63,56700.0,-24.590183328902924
64,57600.0,1.1069045853065802
65,58500.0,2.237862371313753
66,59400.0,2.9465409655276886
67,60300.0,2.8754712271179415
68,61200.0,11.692202369908358
69,62100.0,13.432862707246414
70,63000.0,13.48637245227755
71,63900.0,13.375726460713594
72,64800.0,14.049711660938982
73,65700.0,14.660212248334446
74,66600.0,14.664341739921412
75,67500.0,14.621141870048916
76,68400.0,15.441829061650736
77,69300.0,15.744998220474415
78,70200.0,15.745361625181118
79,71100.0,15.72467616738875
80,72000.0,16.92043557803244
81,72900.0,17.51137288485377
82,73800.0,17.511529843843633
83,74700.0,17.475085685165013
84,75600.0,20.983728915710245
85,76500.0,21.582322261151305
86,77400.0,21.582487213956725
87,78300.0,21.54492980428263
88,79200.0,25.335471963207695
89,80100.0,25.641260782839794
90,81000.0,25.641328978712806
91,81900.0,25.621153220717986
92,82800.0,28.07059998718418
93,83700.0,28.37252886835438
94,84600.0,28.372605813713648
95,85500.0,28.35372234853702
96,86400.0,88.8720660351436
