,time,heat_prod
0,0.0,3.906721000012509
1,10.0,3.9070056697482913
2,20.0,3.907265625589965
3,30.0,3.9075030130995114
4,40.0,3.907719791569753
5,50.0,3.907917750195506
6,60.0,3.9080985228408056
7,70.0,3.908263601524114
8,80.0,3.908414348732783
9,90.0,3.908552008668436
10,100.0,3.9086777175160545
11,110.0,3.9087925128215657
12,120.0,3.908897342055282
13,130.0,3.9089930704319147
14,140.0,3.9090804880516736
15,150.0,3.9091603164214135
16,160.0,3.9092332144096322
17,170.0,3.909299783684485
18,180.0,3.9093605736796935
19,190.0,3.9094160861293266
20,200.0,3.9094667792088993
21,210.0,3.909513071316949
22,220.0,3.909555344528317
23,230.0,3.909593947747628
24,240.0,3.909629199588994
25,250.0,3.909661391005715
26,260.0,3.909690787691688
27,270.0,3.9097176322743175
28,280.0,3.909742146317065
29,290.0,3.9097645321481327
30,300.0,3.909784974530393
31,310.0,3.9098036421863407
32,320.0,3.9098206891906555
33,330.0,3.9098362562418636
34,340.0,3.9098504718236087
35,350.0,3.909863453265093
36,360.0,3.9098753077094655
37,370.0,3.9098861329981314
38,380.0,3.9098960184782965
39,390.0,3.9099050457403957
40,400.0,3.909913289291507
41,410.0,3.909920817170303
42,420.0,3.9099276915086048
43,430.0,3.909933969044201
44,440.0,3.9099397015891273
45,450.0,3.909944936457305
46,460.0,3.909949716855052
47,470.0,3.909954082237681
48,480.0,3.9099580686351554
49,490.0,3.909961708949458
50,500.0,3.909965033226153
51,510.0,3.9099680689023684
52,520.0,3.9099708410332497
53,530.0,3.909973372498755
54,540.0,3.909975684192494
55,550.0,3.909977795194179
56,560.0,3.9099797229270954
57,570.0,3.9099814833019066
58,580.0,3.9099830908479802
59,590.0,3.909984558833297
60,600.0,3.909985899373969
61,610.0,3.909987123534232
62,620.0,3.9099882414177705
63,630.0,3.9099892622511065
64,640.0,3.9099901944597533
65,650.0,3.9099910457377525
66,660.0,3.9099918231111834
67,670.0,3.909992532996145
68,680.0,3.9099931812517172
69,690.0,3.9099937732283196
70,700.0,3.9099943138118682
71,710.0,3.9099948074641033
72,720.0,3.909995258259415
73,730.0,3.909995669918471
74,740.0,3.9099960458389256
75,750.0,3.909996389123461
76,760.0,3.9099967026053988
77,770.0,3.9099969888720816
78,780.0,3.9099972502862297
79,790.0,3.9099974890054416
80,800.0,3.909997707000001
81,810.0,3.90999790606914
82,820.0,3.909998087855888
83,830.0,3.9099982538606337
84,840.0,3.909998405453508
85,850.0,3.9099985438856915
86,860.0,3.909998670299744
87,870.0,3.909998785739031
88,880.0,3.909998891156338
89,890.0,3.9099989874217336
90,900.0,3.9099990753297518
91,910.0,3.9099991556059446
92,920.0,3.909999228912877
93,930.0,3.9099992958555942
94,940.0,3.9099993569866105
95,950.0,3.909999412810475
96,960.0,3.9099994637879334
97,970.0,3.9099995103397327
98,980.0,3.9099995528500893
99,990.0,3.9099995916698655
100,1000.0,3.9099996271194644
101,1010.0,3.909999659491469
102,1020.0,3.9099996890530644
103,1030.0,3.909999716048241
104,1040.0,3.909999740699803
105,1050.0,3.9099997632112142
106,1060.0,3.9099997837682747
107,1070.0,3.9099998025406535
108,1080.0,3.9099998196832884
109,1090.0,3.9099998353376684
110,1100.0,3.9099998496329973
111,1110.0,3.9099998626872616
112,1120.0,3.9099998746082076
113,1130.0,3.909999885494224
114,1140.0,3.90999989543516
115,1150.0,3.9099999045130636
116,1160.0,3.9099999128028595
117,1170.0,3.909999920372969
118,1180.0,3.9099999272858703
119,1190.0,3.9099999335986224
120,1200.0,3.9099999393633253
121,1210.0,3.9099999446275606
122,1220.0,3.9099999494347752
123,1230.0,3.9099999538246473
124,1240.0,3.9099999578334077
125,1250.0,3.9099999614941434
126,1260.0,3.9099999648370685
127,1270.0,3.909999967889775
128,1280.0,3.909999970677456
129,1290.0,3.9099999732231225
130,1300.0,3.9099999755477852
131,1310.0,3.90999997767063
132,1320.0,3.9099999796091756
133,1330.0,3.9099999813794266
134,1340.0,3.90999998299599
135,1350.0,3.9099999844722113
136,1360.0,3.909999985820272
137,1370.0,3.909999987051299
138,1380.0,3.909999988175455
139,1390.0,3.9099999892020145
140,1400.0,3.909999990139452
141,1410.0,3.909999990995506
142,1420.0,3.90999999177724
143,1430.0,3.909999992491108
144,1440.0,3.9099999931430003
145,1450.0,3.909999993738298
146,1460.0,3.9099999942819132
147,1470.0,3.909999994778335
148,1480.0,3.909999995231659
149,1490.0,3.9099999956456273
150,1500.0,3.9099999960236573
151,1510.0,3.9099999963688674
152,1520.0,3.9099999966841072
153,1530.0,3.90999999697198
154,1540.0,3.909999997234861
155,1550.0,3.909999997474919
156,1560.0,3.9099999976941366
157,1570.0,3.9099999978943227
158,1580.0,3.909999998077129
159,1590.0,3.9099999982440647
160,1600.0,3.909999998396508
161,1610.0,3.9099999985357172
162,1620.0,3.9099999986628395
163,1630.0,3.9099999987789267
164,1640.0,3.909999998884936
165,1650.0,3.909999998981741
166,1660.0,3.909999999070142
167,1670.0,3.9099999991508687
168,1680.0,3.909999999224587
169,1690.0,3.9099999992919057
170,1700.0,3.909999999353379
171,1710.0,3.909999999409517
172,1720.0,3.9099999994607804
173,1730.0,3.9099999995075927
174,1740.0,3.9099999995503416
175,1750.0,3.9099999995893793
176,1760.0,3.9099999996250276
177,1770.0,3.909999999657581
178,1780.0,3.9099999996873085
179,1790.0,3.909999999714455
180,1800.0,3.909999999739245
181,1810.0,3.909999999761883
182,1820.0,3.9099999997825554
183,1830.0,3.909999999801433
184,1840.0,3.9099999998186723
