#1	
double tab1(31,2)	
0	0.0000
10	0.0010
20	0.0010
30	0.0011
40	0.0012
50	0.0012
60	0.0015
70	0.0016
80	0.0016
90	0.0016
100	0.0016
110	0.0016
120	0.0016
130	0.0018
140	0.0018
150	0.0018
160	0.0019
170	0.0019
180	0.0020
190	0.0020
200	0.0020
210	0.0015
220	0.0015
230	0.0015
240	0.0010
250	0.0010
260	0.0010
270	0.0016
280	0.0016
290	0.0016
200000	0.0000

